Size        Rss         Pss         Clean       Dirty       Clean       Dirty       Swap        SwapPss     Counts      Category                         Name
316         160         8           64          96          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libexif.z.so
128         128         8           116         8           0           4           0           0           4           .so                              /system/lib64/chipset-sdk/libextractortool.z.so
400         84          5           60          24          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libhukssdk.z.so
108         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libmetadata.z.so
176         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libnghttp2_shared.z.so
7880        344         10          64          280         0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libohosffmpeg.z.so
320         72          4           64          8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libpng.z.so
588         64          1           0           64          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libssl_openssl.z.so
108         104         3           96          8           0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libstring_utils.z.so
64          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libthp_proxy_1.0.z.so
128         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libtp_proxy_1.0.z.so
80          12          0           0           12          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libtp_proxy_1.1.z.so
436         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libturbojpeg.z.so
1444        160         10          124         36          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libxml2.z.so
80          48          3           28          20          0           0           0           0           4           .so                              /system/lib64/chipset-sdk/libxperfservice_client.z.so
824         28          0           0           28          0           0           0           0           4           .so                              /system/lib64/extensionability/libaccessibility_extension_module.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libaccount_logout_extension_module.z.so
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libaction_extension_module.z.so
32          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/extensionability/libadsservice_extension_module.z.so
